USGS,site_no,Date,Temp (max),A,Temp (min),A
USGS,11074000,10/1/75,21.5,A,18,A
USGS,11074000,10/2/75,21.9,A,17.7,A
USGS,11074000,10/3/75,22.5,A,18.3,A
USGS,11074000,10/4/75,22.4,A,17.8,A
USGS,11074000,10/5/75,21.7,A,17.2,A
USGS,11074000,10/6/75,21.1,A,17.9,A
USGS,11074000,10/7/75,20.7,A,17.9,A
USGS,11074000,10/8/75,19,A,14.4,A
USGS,11074000,10/9/75,19.2,A,14.8,A
USGS,11074000,10/10/75,18.7,A,15.8,A
USGS,11074000,10/11/75,19.7,A,17.3,A
USGS,11074000,10/12/75,18.8,A,15.3,A
USGS,11074000,10/13/75,18.1,A,13.5,A
USGS,11074000,10/14/75,18.8,A,13.2,A
USGS,11074000,10/15/75,,,,
USGS,11074000,10/16/75,,,,
USGS,11074000,10/17/75,,,,
USGS,11074000,10/18/75,,,,
USGS,11074000,10/19/75,,,,
USGS,11074000,10/20/75,,,,
USGS,11074000,10/21/75,,,,
USGS,11074000,10/22/75,,,,
USGS,11074000,10/23/75,,,,
USGS,11074000,10/24/75,,,,
USGS,11074000,10/25/75,,,,
USGS,11074000,10/26/75,,,,
USGS,11074000,10/27/75,,,,
USGS,11074000,10/28/75,,,,
USGS,11074000,10/29/75,,,,
USGS,11074000,10/30/75,,,,
USGS,11074000,10/31/75,,,,
USGS,11074000,11/1/75,,,,
USGS,11074000,11/2/75,,,,
USGS,11074000,11/3/75,,,,
USGS,11074000,11/4/75,17.3,A,12.2,A
USGS,11074000,11/5/75,16.4,A,13.1,A
USGS,11074000,11/6/75,16.9,A,14.7,A
USGS,11074000,11/7/75,16.3,A,12.5,A
USGS,11074000,11/8/75,16,A,13.9,A
USGS,11074000,11/9/75,16.1,A,13,A
USGS,11074000,11/10/75,15.8,A,12.1,A
USGS,11074000,11/11/75,14.9,A,11.6,A
USGS,11074000,11/12/75,14.9,A,12,A
USGS,11074000,11/13/75,15.9,A,12.3,A
