USGS,site_no,Date,Temp (max),A,Temp (min),A,pH (max),A,pH (min),A
USGS,6752260,1/2/88,,,,,9.3,A,9.1,A
USGS,6752260,1/3/88,,,,,9.4,A,9.3,A
USGS,6752260,1/4/88,,,,,9.5,A,9.3,A
USGS,6752260,1/5/88,,,,,9.6,A,9.4,A
USGS,6752260,1/6/88,,,,,9.6,A,9.5,A
USGS,6752260,1/7/88,,,,,,,,
USGS,6752260,1/8/88,,,,,8.1,A,7.9,A
USGS,6752260,1/9/88,,,,,,,,
USGS,6752260,1/10/88,,,,,,,,
USGS,6752260,1/11/88,,,,,,,,
USGS,6752260,1/12/88,,,,,,,,
USGS,6752260,1/13/88,,,,,,,,
USGS,6752260,1/14/88,,,,,,,,
USGS,6752260,1/15/88,,,,,,,,
USGS,6752260,1/16/88,,,,,,,,
USGS,6752260,1/17/88,,,,,8.3,A,8.1,A
USGS,6752260,1/18/88,,,,,8.2,A,8.1,A
USGS,6752260,1/19/88,,,,,8.2,A,8.1,A
USGS,6752260,1/20/88,,,,,8.2,A,8,A
USGS,6752260,1/21/88,,,,,8.2,A,8.1,A
USGS,6752260,1/22/88,,,,,,,,
USGS,6752260,1/23/88,,,,,,,,
USGS,6752260,1/24/88,,,,,8.6,A,8.4,A
USGS,6752260,1/25/88,,,,,8.6,A,8.4,A
USGS,6752260,1/26/88,,,,,8.6,A,8.4,A
USGS,6752260,1/27/88,,,,,,,,
USGS,6752260,1/28/88,,,,,,,,
USGS,6752260,1/29/88,,,,,,,,
USGS,6752260,1/30/88,,,,,8.7,A,8.5,A
USGS,6752260,1/31/88,,,,,8.6,A,8.2,A
USGS,6752260,2/1/88,,,,,8.3,A,8.1,A
USGS,6752260,2/2/88,,,,,,,,
USGS,6752260,2/3/88,,,,,,,,
USGS,6752260,2/4/88,,,,,8.5,A,8.2,A
USGS,6752260,2/5/88,,,,,8.4,A,8.2,A
USGS,6752260,2/6/88,,,,,8.5,A,8.3,A
USGS,6752260,2/7/88,,,,,8.4,A,8.3,A
USGS,6752260,2/8/88,,,,,8.5,A,8.3,A
USGS,6752260,2/9/88,,,,,8.5,A,8.3,A
USGS,6752260,2/10/88,,,,,8.5,A,8.2,A
USGS,6752260,2/11/88,,,,,8.5,A,8.2,A
USGS,6752260,2/12/88,,,,,8.3,A,8.1,A
USGS,6752260,2/13/88,,,,,8.3,A,8.2,A
USGS,6752260,2/14/88,,,,,8.2,A,8.1,A
USGS,6752260,2/15/88,,,,,8.2,A,8.2,A
USGS,6752260,2/16/88,,,,,8.2,A,8.1,A
USGS,6752260,2/17/88,,,,,8.1,A,8,A
USGS,6752260,2/18/88,,,,,8,A,8,A
USGS,6752260,2/19/88,,,,,8.4,A,8,A
USGS,6752260,2/20/88,,,,,8.5,A,8.4,A
USGS,6752260,2/21/88,,,,,8.4,A,8.4,A
USGS,6752260,2/22/88,,,,,8.5,A,8.4,A
USGS,6752260,2/23/88,,,,,8.5,A,8.4,A
USGS,6752260,2/24/88,,,,,8.5,A,8.4,A
USGS,6752260,2/25/88,,,,,8.5,A,8,A
USGS,6752260,2/26/88,,,,,8.8,A,8.4,A
USGS,6752260,2/27/88,,,,,8.5,A,8.4,A
USGS,6752260,2/28/88,,,,,8.6,A,8.5,A
USGS,6752260,2/29/88,,,,,,,,
USGS,6752260,3/1/88,,,,,,,,
USGS,6752260,3/2/88,,,,,,,,
USGS,6752260,3/3/88,,,,,,,,
USGS,6752260,3/4/88,,,,,,,,
USGS,6752260,3/5/88,,,,,,,,
USGS,6752260,3/6/88,,,,,,,,
USGS,6752260,3/7/88,,,,,,,,
USGS,6752260,3/8/88,,,,,,,,
USGS,6752260,3/9/88,,,,,,,,
USGS,6752260,3/10/88,,,,,,,,
USGS,6752260,3/11/88,,,,,,,,
USGS,6752260,3/12/88,,,,,,,,
USGS,6752260,3/13/88,,,,,,,,
USGS,6752260,3/14/88,,,,,,,,
USGS,6752260,3/15/88,,,,,,,,
USGS,6752260,3/16/88,,,,,,,,
USGS,6752260,3/17/88,,,,,,,,
USGS,6752260,3/18/88,,,,,,,,
USGS,6752260,3/19/88,,,,,,,,
USGS,6752260,3/20/88,,,,,,,,
